epoch;accuracy;loss;val_accuracy;val_loss
0;0.8717137;0.42144166773637437;0.942380964756012;0.18937129020690918
1;0.9318535;0.23038511619285235;0.9589285850524902;0.1417271055635952
2;0.9453872;0.18687125729899107;0.9615476131439209;0.12952559045382908
3;0.94968927;0.16769839330339523;0.9666666388511658;0.11994473587898981
4;0.95617235;0.1491007360613711;0.9663095474243164;0.11644240911872614
5;0.9601458;0.13544409155104858;0.967380940914154;0.11894296850476946
6;0.9619981;0.13040423305637522;0.9678571224212646;0.10821545691717238
7;0.96429855;0.12239676560088279;0.9703571200370789;0.10597641692275092
8;0.96600145;0.11571014285742895;0.9697619080543518;0.10431936198756808
9;0.9681226;0.10581411169859693;0.9709523916244507;0.10296813970520383
